,Magnitude,Place,Time,Longitude,Latitude,Depth
0,4.8,"108 km ESE of Tatsugō, Japan",1704033458234,130.6658,28.1762,24.42
1,4.3,"116 km SE of Kuril’sk, Russia",1703996366515,148.9932,44.5454,35.0
2,4.2,"Maug Islands region, Northern Mariana Islands",1703991740201,145.6748,20.0351,123.949
3,4.2,"64 km NE of Otrada, Russia",1703981451692,146.4847,44.4452,155.813
4,4.4,"108 km SE of Kuril’sk, Russia",1703980548472,148.9343,44.6077,35.0
5,4.3,"25 km ESE of Noda, Japan",1703975959128,142.1067,40.0474,48.231
6,4.5,"Izu Islands, Japan region",1703932343429,141.6645,32.301,31.074
7,4.3,"Izu Islands, Japan region",1703920845724,142.123,32.0391,10.0
8,4.5,"17 km SSE of Shimukappu, Japan",1703916450619,142.4671,42.8445,45.185
9,4.5,"Bonin Islands, Japan region",1703913358791,143.161,27.7127,10.0
10,4.2,"Maug Islands region, Northern Mariana Islands",1703859237533,145.2178,20.4001,10.0
11,4.2,"Izu Islands, Japan region",1703828655226,141.8624,32.3311,10.0
12,4.9,"Izu Islands, Japan region",1703824734026,141.7204,32.3046,10.0
13,4.3,"131 km SE of Kuril’sk, Russia",1703819868179,149.1838,44.4931,35.551
14,4.3,"119 km SE of Kuril’sk, Russia",1703812282106,148.9388,44.4655,44.541
15,4.4,"126 km SE of Kuril’sk, Russia",1703781746909,149.05,44.451,58.79
16,4.3,"114 km SE of Kuril’sk, Russia",1703777907760,148.8878,44.4857,49.497
17,4.6,"125 km SE of Kuril’sk, Russia",1703775863193,149.0767,44.4806,52.902
18,4.5,"9 km NE of Amagi, Japan",1703774963436,128.9747,27.8668,51.324
19,4.8,"68 km NE of Kuji, Japan",1703769413788,142.4133,40.5601,38.266
20,4.9,"131 km SE of Kuril’sk, Russia",1703767243038,149.1989,44.5032,35.0
21,4.6,"112 km SE of Kuril’sk, Russia",1703763849943,148.875,44.5081,35.0
22,4.5,"128 km SE of Kuril’sk, Russia",1703758064692,149.0796,44.442,46.877
23,5.0,"126 km SE of Kuril’sk, Russia",1703756246968,149.0713,44.4629,42.223
24,6.5,"115 km SE of Kuril’sk, Russia",1703754916131,149.0388,44.596,31.0
25,4.2,"Maug Islands region, Northern Mariana Islands",1703648455503,145.2254,20.2049,10.0
26,4.4,"86 km S of Ōyama, Japan",1703634229317,138.2459,33.822,272.88
27,4.7,"42 km SSW of Shizunai-furukawachō, Japan",1703631237739,142.2525,41.9589,62.994
