,Magnitude,Place,Time,Longitude,Latitude,Depth
8641,4.3,"54 km ESE of Ishinomaki, Japan",1514815826170,141.8955,38.2761,51.04
8640,4.2,"87 km ESE of Yujing, Taiwan",1514834523580,121.2799,22.9136,10.0
8639,4.4,"Volcano Islands, Japan region",1514861626720,142.9983,23.1461,91.11
8638,4.5,"7 km NW of Ichihara, Japan",1514890119800,140.0338,35.5756,42.22
8637,4.7,"101 km ENE of Shikotan, Russia",1514897395840,147.9473,44.0175,69.86
8636,4.3,"Volcano Islands, Japan region",1514920821130,143.4685,22.3963,101.14
8635,4.3,"98 km ESE of Namie, Japan",1514928256440,142.0927,37.3027,33.96
8634,4.5,"Izu Islands, Japan region",1514935047410,140.5556,29.5079,10.0
8633,4.7,"Izu Islands, Japan region",1514982214890,140.4409,29.6058,10.0
8632,4.6,"Izu Islands, Japan region",1514982260020,140.3036,29.5489,10.0
8631,4.3,"Izu Islands, Japan region",1514991967410,140.3128,29.5928,10.0
8630,4.2,"34 km ESE of ?arai, Japan",1515007771500,140.9546,36.2279,35.47
8629,5.5,"Izu Islands, Japan region",1515015021940,140.5205,29.6374,9.46
8628,5.1,"Izu Islands, Japan region",1515015169470,140.5166,29.6113,10.0
8627,4.3,"72 km SE of Shizunai-furukawach?, Japan",1515029781670,143.0351,41.9127,51.01
8626,4.4,"4 km E of Chiba, Japan",1515046807990,140.1703,35.5957,72.8
8625,4.3,"25 km ESE of Dalai, China",1515068470130,124.6215,45.4416,10.0
8624,4.2,"125 km SW of Iwanai, Japan",1515071723170,139.2428,42.3404,202.91
8623,4.6,"Izu Islands, Japan region",1515075550460,140.5203,29.5673,17.29
8622,4.6,"Izu Islands, Japan region",1515075667520,140.2602,29.6604,10.0
8621,4.4,"12 km NNW of Hasaki, Japan",1515117745430,140.7786,35.8361,35.26
8620,4.6,"Izu Islands, Japan region",1515124411410,140.5766,29.6055,10.0
8619,4.3,"67 km SE of Hasaki, Japan",1515149727450,141.3471,35.2909,27.85
8618,4.8,"9 km WSW of Chiba, Japan",1515167654400,140.0131,35.582,73.41
8617,4.5,"21 km SE of It?, Japan",1515181078280,139.2678,34.846,12.24
8616,4.7,"21 km SE of It?, Japan",1515185279310,139.2303,34.8211,14.67
8615,4.7,"Bonin Islands, Japan region",1515234961770,142.3725,28.9538,10.0
8614,4.6,"93 km ENE of Hachinohe, Japan",1515246329250,142.5355,40.7851,50.07
8613,4.2,"60 km E of ?arai, Japan",1515316796960,141.2623,36.3315,28.03
8612,4.3,"57 km S of Toba, Japan",1515369173100,136.8495,33.963,354.7
8611,4.4,"141 km NW of Ishikawa, Japan",1515425478820,126.6578,27.1594,149.4
8610,4.6,"27 km S of Yanai, Japan",1515444728090,132.1526,33.7236,58.94
8609,4.4,"6 km NNE of Miyako, Japan",1515473004410,141.9779,39.6986,69.63
8608,4.7,"Izu Islands, Japan region",1515520234000,140.4155,29.5822,47.1
8607,4.5,"Izu Islands, Japan region",1515520311890,140.0974,29.5782,31.46
8606,5.0,"48 km SE of Hasaki, Japan",1515536451760,141.195,35.4154,34.54
8605,5.4,"55 km SE of Hasaki, Japan",1515537019090,141.199,35.3367,18.93
8604,5.0,Mariana Islands region,1515548762780,143.0578,21.6366,303.03
8603,4.9,"98 km E of Nishinoomote, Japan",1515565407710,132.0337,30.7376,32.1
8602,4.4,"94 km E of Nishinoomote, Japan",1515582070100,131.9865,30.7213,10.0
8601,4.7,"22 km N of Shizunai-furukawach?, Japan",1515582208860,142.3851,42.5328,115.19
8600,5.1,"188 km SE of Hirara, Japan",1515631420040,126.7353,23.7157,10.0
8599,4.4,"149 km N of Nago, Japan",1515645510690,127.9214,27.9591,10.0
8598,4.4,"Bonin Islands, Japan region",1515709488710,142.9548,27.7755,14.01
8597,4.5,Mariana Islands region,1515715373960,146.2415,20.3944,61.32
8596,4.1,"Bonin Islands, Japan region",1515744648970,140.0643,27.9786,428.73
8595,4.5,"Bonin Islands, Japan region",1515748763620,142.8973,27.7481,10.0
8594,4.9,"85 km E of Nishinoomote, Japan",1515750665670,131.8873,30.6844,10.0
8593,4.6,"Bonin Islands, Japan region",1515761790910,142.9868,27.7807,10.0
8592,4.1,"53 km ENE of Ishinomaki, Japan",1515801379540,141.8741,38.582,58.39
8591,4.6,"90 km E of Nishinoomote, Japan",1515816790580,131.9416,30.7198,10.0
8590,4.5,"208 km SSE of Naze, Japan",1515897921230,130.3505,26.6489,10.0
8589,4.9,"87 km SE of Shizunai-furukawach?, Japan",1515920852210,143.2019,41.8465,46.22
