Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
1623451752.0,122.6102,24.8618,4.4,1623529938.0,141.611,43.1589,4.4,1623550716.0,143.1172,36.3754,4.3,1623568615.0,128.4258,26.9289,4.4,1623585503.0,141.9169,40.9637,4.0,1623611202.0
1623629308.0,145.6821,43.1781,4.2,1623670124.0,121.2115,22.1182,4.1,1623677080.0,131.0354,29.6636,4.4,1623693362.0,149.6925,44.7398,4.3,1623704340.0,145.4837,20.0601,4.5,1623711379.0
1623737914.0,138.6055,33.6404,4.5,1623741102.0,128.2765,28.0575,4.5,1623780193.0,138.7912,30.2668,4.2,1623835661.0,122.304,24.7696,4.2,1623871869.0,128.4925,25.5817,4.3,1623920374.0
1624009245.0,123.3493,24.4528,4.6,1624016057.0,140.6554,34.5034,4.2,1624052836.0,141.8058,25.766,4.6,1624055953.0,132.5646,33.5055,4.9,1624087715.0,141.6874,23.8776,4.5,1624174614.0
1624187304.0,142.6172,43.5582,5.3,1624200612.0,121.5089,23.7516,4.9,1624308926.0,127.4566,28.3661,4.5,1624426824.0,121.5552,24.008,4.9,1624433469.0,124.9062,25.7591,4.4,1624451714.0
1624464606.0,122.9156,24.6022,4.4,1624473860.0,146.147,43.5341,4.3,1624507432.0,145.6299,21.6775,5.2,1624515544.0,142.3519,29.7339,4.2,1624574505.0,144.5973,38.5605,4.3,1624621275.0
1624752415.0,142.7201,40.1891,4.1,1624847880.0,143.0247,27.9572,4.1,1624860833.0,145.2487,43.0045,4.2,1624871298.0,121.5221,23.8017,4.5,1624871562.0,143.0191,26.8158,5.1,1624930931.0
1624944655.0,122.2732,24.5316,4.6,1624946151.0,131.7087,31.7709,5.0,1624984571.0,141.985,38.6817,4.1,1625025200.0,141.3935,37.2356,4.0,1625056651.0,140.8596,35.8605,4.2,1625059089.0
1625089441.0,142.2479,39.2381,4.4,1625129490.0,147.4278,44.5795,4.5,1625190488.0,142.1589,41.4989,4.2,1625210834.0,144.3648,21.3888,4.6,1625225656.0,143.3115,22.1257,4.2,1625306265.0
1625323968.0,143.5754,22.4499,4.5,1625329441.0,142.049,39.7542,4.3,1625332793.0,142.5143,41.9113,4.4,1625339168.0,141.7642,38.6358,4.2,1625380522.0,141.0365,36.6471,4.4,1625405528.0
1625415761.0,144.9976,40.4367,4.3,1625436321.0,127.8472,27.9695,4.0,1625439856.0,127.9896,28.0164,4.1,1625444194.0,125.9313,26.2801,4.1,1625468323.0,128.2358,27.9743,4.5,1625497950.0
