,Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
0,1514815826170,141.8955,38.2761,4.3,1514815826170,141.8955,38.2761,4.3,1514815826170.0,141.8955,38.2761,4.3,1514815826170.0,141.8955,38.2761,4.3,1514815826170.0,141.8955,38.2761,4.3,1514815826170.0
1,1514834523580,121.2799,22.9136,4.2,1514834523580,121.2799,22.9136,4.2,1514834523580.0,121.2799,22.9136,4.2,1514834523580.0,121.2799,22.9136,4.2,1514834523580.0,121.2799,22.9136,4.2,1514834523580.0
2,1514861626720,142.9983,23.1461,4.4,1514861626720,142.9983,23.1461,4.4,1514861626720.0,142.9983,23.1461,4.4,1514861626720.0,142.9983,23.1461,4.4,1514861626720.0,142.9983,23.1461,4.4,1514861626720.0
3,1514890119800,140.0338,35.5756,4.5,1514890119800,140.0338,35.5756,4.5,1514890119800.0,140.0338,35.5756,4.5,1514890119800.0,140.0338,35.5756,4.5,1514890119800.0,140.0338,35.5756,4.5,1514890119800.0
4,1514897395840,147.9473,44.0175,4.7,1514897395840,147.9473,44.0175,4.7,1514897395840.0,147.9473,44.0175,4.7,1514897395840.0,147.9473,44.0175,4.7,1514897395840.0,147.9473,44.0175,4.7,1514897395840.0
5,1514920821130,143.4685,22.3963,4.3,1514920821130,143.4685,22.3963,4.3,1514920821130.0,143.4685,22.3963,4.3,1514920821130.0,143.4685,22.3963,4.3,1514920821130.0,143.4685,22.3963,4.3,1514920821130.0
6,1515537019090,141.199,35.3367,5.4,1515537019090,141.199,35.3367,5.4,1515537019090.0,141.199,35.3367,5.4,1515537019090.0,141.199,35.3367,5.4,1515537019090.0,141.199,35.3367,5.4,1515537019090.0
7,1515548762780,143.0578,21.6366,5.0,1515548762780,143.0578,21.6366,5.0,1515548762780.0,143.0578,21.6366,5.0,1515548762780.0,143.0578,21.6366,5.0,1515548762780.0,143.0578,21.6366,5.0,1515548762780.0
8,1515565407710,132.0337,30.7376,4.9,1515565407710,132.0337,30.7376,4.9,1515565407710.0,132.0337,30.7376,4.9,1515565407710.0,132.0337,30.7376,4.9,1515565407710.0,132.0337,30.7376,4.9,1515565407710.0
9,1515582070100,131.9865,30.7213,4.4,1515582070100,131.9865,30.7213,4.4,1515582070100.0,131.9865,30.7213,4.4,1515582070100.0,131.9865,30.7213,4.4,1515582070100.0,131.9865,30.7213,4.4,1515582070100.0
10,1515582208860,142.3851,42.5328,4.7,1515582208860,142.3851,42.5328,4.7,1515582208860.0,142.3851,42.5328,4.7,1515582208860.0,142.3851,42.5328,4.7,1515582208860.0,142.3851,42.5328,4.7,1515582208860.0
11,1515631420040,126.7353,23.7157,5.1,1515631420040,126.7353,23.7157,5.1,1515631420040.0,126.7353,23.7157,5.1,1515631420040.0,126.7353,23.7157,5.1,1515631420040.0,126.7353,23.7157,5.1,1515631420040.0
12,1516737293980,141.7628,38.1475,4.3,1516737293980,141.7628,38.1475,4.3,1516737293980.0,141.7628,38.1475,4.3,1516737293980.0,141.7628,38.1475,4.3,1516737293980.0,141.7628,38.1475,4.3,1516737293980.0
13,1516763682380,140.7927,26.4351,4.7,1516763682380,140.7927,26.4351,4.7,1516763682380.0,140.7927,26.4351,4.7,1516763682380.0,140.7927,26.4351,4.7,1516763682380.0,140.7927,26.4351,4.7,1516763682380.0
14,1516773014200,142.0818,23.6562,4.5,1516773014200,142.0818,23.6562,4.5,1516773014200.0,142.0818,23.6562,4.5,1516773014200.0,142.0818,23.6562,4.5,1516773014200.0,142.0818,23.6562,4.5,1516773014200.0
15,1516774543810,132.7856,43.4536,4.3,1516774543810,132.7856,43.4536,4.3,1516774543810.0,132.7856,43.4536,4.3,1516774543810.0,132.7856,43.4536,4.3,1516774543810.0,132.7856,43.4536,4.3,1516774543810.0
16,1516791079090,142.4323,41.1034,6.3,1516791079090,142.4323,41.1034,6.3,1516791079090.0,142.4323,41.1034,6.3,1516791079090.0,142.4323,41.1034,6.3,1516791079090.0,142.4323,41.1034,6.3,1516791079090.0
17,1516802136890,141.2328,37.4474,4.4,1516802136890,141.2328,37.4474,4.4,1516802136890.0,141.2328,37.4474,4.4,1516802136890.0,141.2328,37.4474,4.4,1516802136890.0,141.2328,37.4474,4.4,1516802136890.0
18,1517753814840,121.7461,24.0953,4.8,1517753814840,121.7461,24.0953,4.8,1517753814840.0,121.7461,24.0953,4.8,1517753814840.0,121.7461,24.0953,4.8,1517753814840.0,121.7461,24.0953,4.8,1517753814840.0
19,1517758426880,121.7835,24.182,4.6,1517758426880,121.7835,24.182,4.6,1517758426880.0,121.7835,24.182,4.6,1517758426880.0,121.7835,24.182,4.6,1517758426880.0,121.7835,24.182,4.6,1517758426880.0
20,1517763262320,121.8397,24.1707,4.5,1517763262320,121.8397,24.1707,4.5,1517763262320.0,121.8397,24.1707,4.5,1517763262320.0,121.8397,24.1707,4.5,1517763262320.0,121.8397,24.1707,4.5,1517763262320.0
